name,key,link,related_aesthetics,decade_of_origin,key_motifs,key_colours,key_values,related_media,earliest_origin,latest_origin
2 Tone,2_Tone,https://aesthetics.fandom.com/wiki/2_Tone,"['Mod', 'New_Wave', 'Northern_Soul', 'Punk', 'Reggae', 'Rude_Boy', 'Skinhead']",Late 1970s,"Checkerboard pattern, suits, pork pie hats, loafers, band logos",Black and white,"Anti-racism, racial unity, working-class pride, social commentary",,1970.0,1970.0
2000s Modern Baroque,2000s_Modern_Baroque,https://aesthetics.fandom.com/wiki/2000s_Modern_Baroque,"['Baroque', 'Curly_Girly', 'McBling', 'Parisian_Girly', 'Vectorbloom']",2000s,"Ornate details, gilded accents, sumptuous fabrics, floral embroidery, a fusion of Baroque elements with modern lines and materials","Black and gold, but also a broader range including rich hues (red, purple, teal, navy) and softer tones (lavenders, pinks, blues)","Opulence, drama, a reinterpretation of tradition, a blend of old and new",,2000.0,2000.0
2000s Preppy,2000s_Preppy,https://aesthetics.fandom.com/wiki/2000s_Preppy,"['Barbiecore', 'Basic_Girl', 'Boujee', 'Bubblegum_Bitch', 'High_School_Dream', 'Old_Money', 'Preppy', 'Surfer', 'Tweencore']",2000s,"Wealth, popularity, femininity, elitism","Light and bright colors, a lot of pink, black and white",,"lueless, Gossip Girl",2000.0,2000.0
2000s Yoga Mom,2000s_Yoga_Mom,https://aesthetics.fandom.com/wiki/2000s_Yoga_Mom,[],"Late 90's, Early 2000's","Yoga mats, suburban SUVs, large tote bags, thermal mugs, white kitchens, oversized glasses, physical planners, blonde highlights","Black, white, light gray, beige, sage green, pastel blue, pale pink","Disciplined wellness, balance between motherhood and self-care, domestic order, discreet aspirational consumption",,1990.0,2000.0
2010s Bright Kawaii,2010s_Bright_Kawaii,https://aesthetics.fandom.com/wiki/2010s_Bright_Kawaii,"['2010s_Soft_Kawaii', '2010s_Meme_Maximalism', 'Pastel_Goth', 'Weeaboo']",2010s,"Anime, arcades, mascots, school uniforms",Bright pastels,,,2010.0,2010.0
2010s Dark Fandom,2010s_Dark_Fandom,https://aesthetics.fandom.com/wiki/2010s_Dark_Fandom,"['Brostep', 'Digital_Horror', 'Emo', 'Gorecore', 'Nightcore_(aesthetic)', 'Welwitschia_Goth', 'Yandere']",2010s,"Monochrome color palette (black-red-white), blood splatters, glowing eyes, kitchen knives, glitch/static, surgical masks, ""Desmotivaciones"" posters, red spider lilies, chains","Black, blood red, dark grey, white","Madness as power, trauma, emotional release, rebellion against innocence, the ""corruption"" of childhood media","irai Nikki, Tokyo Ghoul, Yandere Simulator, Elfen Lied, Five Nights at Freddy's, Creepypasta",2010.0,2010.0
2010s Meme Maximalism,2010s_Meme_Maximalism,https://aesthetics.fandom.com/wiki/2010s_Meme_Maximalism,"['2010s_Soft_Kawaii', 'Deep_Fried_Meme', 'Galaxy_Print', 'Glitchcore', 'Glitter_Graphics', 'Internet_Awesomesauce', 'MLG', 'Scenecore', 'Vectordelia', 'Webcore']",2020s (drawing from Late 2000s-Mid 2010s),"Rage comics (Trollface, etc.),  Nyan Cat, Epic Face, image macros, Advice Animals, splatters, rainbow gradients, Sparkledogs, kaomoji","Bright primary and secondary colors, rainbows","""Epicness,"" random humor, nostalgia, controlled chaos, ""cringe culture is dead""","sdfmovie, YouTube Poop,MLG, Regretevator (Roblox game)",2000.0,2020.0
2010s Soft Kawaii,2010s_Soft_Kawaii,https://aesthetics.fandom.com/wiki/2010s_Soft_Kawaii,"['Kawaii', 'Twee']",2010s,"Kawaii mascots, sweets, florals","Pink, cream, mint green, brown",,,2010.0,2010.0
2010s Summer Nostalgia,2010s_Summer_Nostalgia,https://aesthetics.fandom.com/wiki/2010s_Summer_Nostalgia,"['2014_Tumblr', 'Basic_Girl', 'Electropop_08', 'Galaxy_Print', 'Nostalgiacore', 'Seapunk', 'VSCO_Girl']",Early-to-Mid 2010s,"Palm trees (especially silhouetted at sunset), ocean and pool scenes, beach bonfires, high-waisted shorts, floppy hats, large sunglasses, flamingo floaties, Arizona Iced Tea, fads like the Ice Bucket Challenge and Pokémon Go (2016), ""Keep Calm"" memes","Sun-bleached white, saturated teal/blue, neon pink/purple (from filters), golden yellow/orange (sun flare)","Care-free illusion, peace and joy, instant celebrity, youthful freedom, sun worship","-Eazy (""Tumblr Girls,"" ""Lady Killers"")",2010.0,2010.0
2014 Girly,2014_Girly,https://aesthetics.fandom.com/wiki/2014_Girly,"['2014_Tumblr', 'Barbiecore', 'Pale_Grunge', 'Pink_Princess', 'Quality_Tumblr', 'Shabby_Chic']",2012-2016,,"Various shades of pink, cream white, beige, and mint","kindess, femininity, and being grateful. most values are learnt from Audrey Hepburn","umblr, TikTok",2012.0,2016.0
2020 Alt,2020_Alt,https://aesthetics.fandom.com/wiki/2020_Alt,"['E-Boy', 'E-Girl', 'Emo', 'Femboy', 'Glitchcore', 'Goblincore', 'Indie_Kid', 'Kandi_Raver', 'Mallgoth', 'Sanriocore', 'Scenecore', 'Sigilkore']",Early 2020s,"Bunny/frog hats, layered shirts, fishnets, chains, arm warmers, anime, Sanrio characters, Monster Energy drinks","Primarily black, often with accents of pink, white, or neon colors","Online community, self-expression, leftist politics, queer liberation, anti-cringe culture, Black Lives Matter (BLM), ACAB","anganronpa, Dream SMP, Minecraft, Roblox, Kakegurui, Toilet-Bound Hanako-kun, Genshin Impact, OMORI, Hazbin Hotel, My Hero Academia, Among Us",2020.0,2020.0
2020s Preppy,2020s_Preppy,https://aesthetics.fandom.com/wiki/2020s_Preppy,"['Bubblegum_Bling', 'Coconut_Girl', 'Dopamine_Dressing', 'McBling', 'VSCO_Girl']",2020s,"Smiley faces, lightning bolts, chenille patches, bows","Hot pink, cyan, neon pastels, bright orange","Cheerfulness, affluence, cleanliness, popularity",,2020.0,2020.0
50s Suburbia,50s_Suburbia,https://aesthetics.fandom.com/wiki/50s_Suburbia,"['Mid-Century_Modern', 'Americana', 'Googie', 'Space_Age', 'Suburban_Gothic', 'Tradwife', 'Vintage_Americana']",1950s,"The nuclear family, manicured lawns, picket fences, station wagons, Tupperware parties, backyard barbecues, new household appliances","Pastels (mint green, baby pink, powder blue), cherry red, turquoise, white","Conformity, traditional gender roles, consumerism, family, community, optimism, ""keeping up with the Joneses""","eave It to Beaver, The Donna Reed Show, I Love Lucy, Pleasantville",1950.0,1950.0
8-Bit,8-Bit,https://aesthetics.fandom.com/wiki/8-Bit,"['Arcadecore', 'Cassette_Futurism', 'Early_Cyber', 'Lo-Fi', 'Low_Poly', 'PC-98', 'Pixelscape', 'Pixel_UI', 'Shanzhai']",1980s,"Extremely limited color palettes, minimal animation, blocky graphics, lack of outlines or shading, lettering with blocky dropshadows",,,prite comics,1980.0,1980.0
80s Workout,80s_Workout,https://aesthetics.fandom.com/wiki/80s_Workout,"['Camp', 'Mallsoft', 'Memphis_Design', 'Vaporwave']",1980s,"Leotards, leg warmers, sweatbands, neon colors, high-top sneakers, spandex, bike shorts","Bright neon (pink, green, yellow, blue), pastels, often in high-contrast combinations","Fitness as fun, energy, optimism, self-expression, social performance",,1980.0,1980.0
90s Cool,90s_Cool,https://aesthetics.fandom.com/wiki/90s_Cool,"['Y2K_Futurism', 'Techwear', 'Metalheart', 'Nu-Metal', 'Cyberdelic', '//www.are.na/evan-collins-1522646491/cyber-gen-x-corporate', 'Olderbrothercore', 'Abstract_Tech', 'Alternative', 'Berlin_Techno_Fashion', 'Biopunk', 'Corporate_Grunge', 'Cyberprep', 'Cyberpunk', 'Early_Cyber', 'Gen_X_Soft_Club', 'Grunge', 'Hacker_Chic', 'Goth', 'Mallgoth', 'Industrial', 'Metalheart', 'Nu-Metal', 'Cyberdelia', 'Raver', 'Y2K', 'Chromecore', 'Techwear', 'Teenpunk', 'Y2K_Futurism', 'Poster_Gal']",1990s,"Bullet time action, martial arts movies, slo-motion sequences, CGI, Y2K style costumes, action,cyberpunksettings, digital rain, Hollywood-style hacking/computer cracking","Green, blue, yellow, black","Lone savior complex, a massive emphasis on ""cool"", Post-Matrix action film-making","he Crow,The Matrix,Blade,Max Payne,Splinter Cell,GTA II & III,Metal Gear Solid",1990.0,1990.0
Abstract Tech,Abstract_Tech,https://aesthetics.fandom.com/wiki/Abstract_Tech,"['DORFic', 'Hexatron', 'Corporate', 'Cyberprep', 'Cyberpunk', 'Dark_Aero', 'Frutiger_Aero', 'Frutiger_Eco', 'Glassmorphism', 'Med-Tech_Visions', 'Metalheart', 'Robotcore', 'Skeuomorphism', 'TechnoNeko2000', 'Vectorheart', 'Y2K_Futurism']",c. 1990s-2000s,"glowing lines, concentric arcs/circles, hexagons, circuits, binary code, connected dots, robotics","blue, black, white","technological advancement, digital transformation, connectivity","inority Report,Iron Man(MCU),TRON: Legacy, other Digital Age sci-fi, technology stock images",1990.0,2000.0
